time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
8.870,9.339,0.341,1.199,86.060,2.258,13.672,1.2,-78.9,95.8
8.880,9.395,0.542,1.009,86.670,1.892,12.512,1.5,-78.9,96.4
8.890,9.964,0.588,1.033,86.304,1.526,13.245,1.8,-78.9,96.9
8.900,10.090,0.801,0.892,85.083,1.587,13.672,2.1,-78.9,97.5
8.910,10.237,0.901,0.558,82.459,1.892,14.648,2.4,-79.0,98.0
8.920,9.999,0.785,0.476,81.055,4.883,15.015,2.7,-79.0,98.6
8.930,10.063,0.420,0.761,80.505,8.606,15.808,2.8,-79.0,99.3
8.940,9.913,0.241,0.640,80.322,9.644,15.991,2.9,-79.0,100.1
8.950,9.863,0.205,0.533,80.078,11.108,15.747,2.9,-78.9,100.9
8.960,9.899,0.332,0.326,79.773,10.864,15.381,2.9,-78.9,101.7
8.970,9.859,0.382,0.378,79.895,11.597,14.526,3.0,-78.8,102.4
8.980,9.692,0.345,0.427,80.139,12.390,14.343,3.2,-78.8,103.1
8.990,9.537,0.335,0.458,79.773,12.390,14.587,3.3,-78.7,103.8
9.000,9.389,0.385,0.403,81.055,12.451,14.587,3.4,-78.7,104.4
9.010,9.045,0.543,0.491,80.872,13.000,16.174,3.5,-78.6,105.2
9.020,9.243,0.717,0.494,80.627,11.841,17.639,3.6,-78.6,106.0
9.030,9.181,1.064,0.288,80.322,10.620,18.188,3.6,-78.5,106.7
9.040,9.239,1.158,0.017,77.698,9.888,19.714,3.7,-78.5,107.5
9.050,9.449,0.935,-0.241,74.829,10.925,20.691,3.7,-78.5,108.3
9.060,9.355,0.966,-0.344,71.533,13.062,20.508,3.6,-78.5,109.1
9.070,8.982,1.126,-0.361,67.627,14.893,19.592,3.5,-78.5,110.0
9.080,8.883,1.296,-0.362,64.514,14.771,20.447,3.3,-78.4,110.8
9.090,8.684,1.486,-0.393,61.340,13.855,20.630,3.2,-78.4,111.5
9.100,8.581,1.541,-0.345,59.326,13.062,20.813,3.1,-78.4,112.3
9.110,8.569,1.660,-0.232,58.472,12.146,19.897,3.1,-78.3,112.9
9.120,8.616,1.654,-0.044,58.167,11.902,19.348,3.0,-78.3,113.6
9.130,8.754,1.705,0.174,56.396,11.536,18.921,3.0,-78.3,114.2
9.140,9.006,1.648,0.202,53.589,11.169,19.409,3.0,-78.2,114.8
9.150,9.270,1.489,0.223,50.354,11.169,20.508,2.9,-78.2,115.5
9.160,9.527,1.059,0.164,48.218,10.620,21.790,2.6,-78.2,116.2
9.170,9.738,0.375,-0.046,49.744,8.362,22.644,2.2,-78.2,117.2
9.180,9.599,0.026,-0.363,53.772,8.423,21.545,1.7,-78.2,118.2
9.190,9.260,0.073,-0.373,51.697,7.324,17.334,1.4,-78.2,119.1
9.200,9.664,0.431,-0.343,49.438,3.601,11.353,1.3,-78.3,119.7
9.210,10.337,1.251,-0.224,45.776,2.747,6.836,1.5,-78.4,119.9
9.220,10.343,1.898,-0.633,45.044,7.507,5.920,2.0,-78.4,119.9
9.230,9.714,1.353,1.647,40.283,13.306,4.883,2.6,-78.4,119.8
9.240,9.865,0.917,8.142,35.645,-1.587,0.610,3.0,-78.3,119.7
9.250,12.096,2.936,8.838,39.490,-54.260,-6.348,3.9,-78.4,119.2
9.260,14.338,7.292,3.755,21.423,-106.018,-1.282,5.6,-79.1,117.8
9.270,14.863,7.179,-3.308,6.042,-92.224,21.606,7.2,-80.1,116.3
9.280,12.132,2.534,-5.026,-3.113,-7.507,36.743,7.2,-80.8,116.4
9.290,9.489,0.053,1.332,-7.507,44.067,36.316,5.2,-80.7,118.3
9.300,8.585,-1.348,5.355,0.427,31.433,32.715,2.9,-80.3,120.6
9.310,9.854,-1.642,3.680,10.864,8.057,33.264,0.7,-80.0,123.0
9.320,11.090,-2.405,3.730,16.785,13.916,37.659,-1.6,-79.8,125.5
9.330,10.747,-2.769,4.477,21.729,12.939,39.185,-4.1,-79.6,128.2
9.340,9.963,-1.872,3.453,24.292,0.671,37.109,-6.4,-79.4,130.8
9.350,9.939,-0.921,2.818,24.780,-0.854,32.898,-8.3,-79.3,132.9
9.360,10.632,-0.139,2.671,23.071,0.549,25.757,-9.5,-79.2,134.4
9.370,11.332,0.327,1.918,18.616,0.488,19.226,-10.3,-79.1,135.4
9.380,11.643,0.737,0.973,13.062,3.235,16.418,-10.8,-79.1,136.1
9.390,11.288,0.640,0.735,8.179,10.864,13.794,-11.2,-79.1,136.5
9.400,10.539,0.688,1.424,5.554,19.775,9.399,-11.3,-78.9,136.7
9.410,9.934,0.761,2.086,7.019,22.522,3.906,-11.0,-78.7,136.6
9.420,9.382,1.171,2.226,10.437,24.658,-0.610,-10.4,-78.5,136.1
9.430,9.034,1.493,2.223,11.536,25.940,-2.258,-9.7,-78.3,135.4
9.440,8.870,1.402,2.332,11.658,26.245,-1.038,-8.9,-78.0,134.7
9.450,8.226,0.931,2.459,10.925,25.574,1.221,-8.2,-77.7,134.2
9.460,8.344,0.588,2.204,10.010,21.912,4.456,-7.9,-77.5,134.0
9.470,8.396,0.698,1.581,8.301,20.020,5.676,-7.8,-77.3,134.0
9.480,8.625,0.457,1.307,4.578,20.386,4.578,-7.7,-77.1,133.9
9.490,8.693,0.385,1.402,1.404,20.569,0.977,-7.5,-76.9,133.8
9.500,8.584,0.203,1.550,0.183,19.165,-2.380,-7.2,-76.8,133.5
9.510,8.329,0.005,1.542,1.099,17.639,-4.456,-6.9,-76.6,133.1
9.520,8.066,-0.050,1.302,2.869,18.921,-4.456,-6.5,-76.5,132.8
9.530,8.194,0.028,1.427,2.869,20.386,-4.211,-6.2,-76.3,132.5
9.540,7.825,0.006,1.421,3.723,20.081,-4.150,-5.9,-76.1,132.2
9.550,7.699,0.445,1.529,5.615,21.667,-4.089,-5.5,-75.9,131.9
9.560,7.777,0.664,1.547,5.798,19.836,-3.540,-5.1,-75.8,131.6
9.570,8.110,0.683,1.426,5.920,18.311,-2.808,-4.7,-75.6,131.2
9.580,8.305,0.731,1.447,6.348,19.531,-1.953,-4.4,-75.4,130.9
9.590,8.446,0.737,1.296,6.409,19.531,-1.099,-4.0,-75.3,130.7
9.600,8.717,0.746,1.245,4.272,19.653,-0.854,-3.7,-75.1,130.4
9.610,9.140,0.699,1.274,3.662,20.325,-1.404,-3.5,-75.0,130.2
9.620,9.375,0.736,1.191,5.310,20.874,-1.709,-3.2,-74.8,130.0
9.630,9.312,1.043,1.077,6.897,19.653,-1.160,-2.9,-74.7,129.7
9.640,9.294,1.302,0.816,7.751,16.235,-0.122,-2.5,-74.6,129.5
9.650,9.550,1.171,0.604,7.080,14.221,-0.183,-2.2,-74.5,129.2
9.660,9.410,1.295,0.397,7.324,12.939,-2.014,-1.9,-74.5,129.0
9.670,9.186,1.202,-0.009,6.042,9.521,-4.395,-1.4,-74.5,128.6
9.680,8.994,1.361,-0.318,4.395,6.104,-7.141,-0.9,-74.5,128.2
9.690,9.010,1.551,-0.476,2.502,0.854,-10.498,-0.3,-74.6,127.6
9.700,9.042,1.969,-0.455,1.587,-5.249,-13.611,0.5,-74.8,126.8
9.710,9.301,2.410,-0.320,-0.427,-13.184,-15.625,1.4,-75.0,125.9
9.720,10.008,2.620,0.181,-5.310,-20.569,-15.930,2.4,-75.3,124.8
9.730,10.705,2.733,0.409,-8.606,-27.588,-12.939,3.4,-75.7,123.7
9.740,10.645,2.514,0.603,-11.230,-28.320,-4.639,4.1,-76.1,122.9
9.750,10.911,1.531,1.090,-12.878,-29.053,2.808,4.5,-76.4,122.4
9.760,10.929,0.590,3.076,-9.338,-25.574,4.578,4.5,-76.7,122.3
9.770,11.111,-0.562,7.004,-5.981,-32.959,-2.930,4.6,-77.0,122.2
9.780,12.439,-1.886,8.117,1.831,-57.800,-21.851,5.2,-77.3,121.5
6.690,8.263,-0.177,2.114,32.043,-26.306,3.967,33.4,-77.5,-81.2
6.700,9.162,-0.220,1.116,26.855,-25.879,6.897,33.9,-77.8,-81.4
6.710,9.811,-0.412,0.715,23.560,-17.517,10.864,34.1,-78.1,-81.3
6.720,9.887,-0.378,0.786,23.193,-8.789,13.794,34.0,-78.3,-80.9
6.730,9.410,-0.381,0.900,26.367,-1.099,15.137,33.5,-78.5,-80.2
6.740,8.666,-0.281,1.174,31.982,2.258,15.503,32.9,-78.6,-79.3
6.750,8.080,-0.094,1.117,35.339,-0.061,15.076,32.4,-78.7,-78.5
6.760,7.693,0.105,0.855,35.584,-5.676,14.526,32.1,-78.9,-77.8
6.770,7.523,0.351,0.445,33.447,-10.925,14.771,32.0,-79.1,-77.4
6.780,7.365,0.643,0.255,29.663,-12.512,15.625,32.0,-79.3,-77.0
6.790,7.582,0.758,0.437,27.039,-12.085,16.846,32.0,-79.5,-76.7
6.800,7.560,1.101,0.345,28.503,-11.536,17.517,31.9,-79.8,-76.4
6.810,7.665,1.140,0.455,28.809,-12.390,18.127,31.9,-80.0,-76.1
6.820,7.917,1.055,0.541,28.198,-16.602,17.395,32.0,-80.2,-75.8
6.830,8.208,0.941,0.367,27.527,-20.142,15.564,32.2,-80.5,-75.8
6.840,8.325,0.921,0.043,26.672,-20.630,15.320,32.5,-80.8,-75.8
6.850,8.526,0.910,-0.211,24.597,-16.785,15.869,32.8,-81.0,-75.8
6.860,8.421,0.843,-0.160,21.973,-8.789,16.724,32.8,-81.3,-75.5
6.870,8.463,0.545,0.233,18.860,-2.075,16.602,32.4,-81.4,-74.9
