BTS G-STUDIO File

--------------------------------------------------------
Versione File:		5
Sensor type:		GS2
Accelerometro (g):	±2
Magnetico (uT):	OFF
Giroscopio (°/s):	±2000
Frequenza (Hz):		100
GPS (Hz):		OFF
Informazioni sull’orientamento:	ON
Frames:	946
--------------------------------------------------------

Time		Acc.			Gyro.		Roll	Pitch	Yaw
t(s)	X(m/s²)	Y(m/s²)	Z(m/s²)	X(°/s)	Y(°/s)	Z(°/s)	(°)	(°)	(°)
2.090	9.192	-0.327	2.961	0.305	0.610	0.000	-5.2	-72.2	143.3
2.100	9.199	-0.293	2.981	0.122	0.549	0.000	-5.2	-72.2	143.3
2.110	9.161	-0.291	2.937	0.000	0.549	0.000	-5.2	-72.2	143.3
2.120	9.170	-0.269	2.942	0.122	0.610	0.061	-5.2	-72.2	143.3
2.130	9.203	-0.258	2.936	-0.122	0.671	0.122	-5.2	-72.2	143.3
2.140	9.230	-0.271	3.027	-0.244	0.549	0.122	-5.2	-72.1	143.3
2.150	9.210	-0.308	2.942	-0.122	0.549	0.183	-5.2	-72.1	143.3
2.160	9.237	-0.274	2.916	-0.183	0.610	0.122	-5.2	-72.1	143.4
2.170	9.239	-0.318	2.861	-0.122	0.732	0.061	-5.2	-72.1	143.4
2.180	9.235	-0.250	2.999	-0.183	1.038	0.061	-5.2	-72.1	143.4
2.190	9.175	-0.306	2.927	-0.061	1.099	0.061	-5.2	-72.1	143.4
2.200	9.194	-0.258	2.987	-0.061	1.099	0.000	-5.3	-72.1	143.3
2.210	9.193	-0.269	3.008	-0.122	1.038	-0.061	-5.2	-72.1	143.3
2.220	9.209	-0.303	2.932	0.000	0.732	0.000	-5.2	-72.1	143.3
2.230	9.205	-0.275	2.940	0.000	0.549	0.061	-5.3	-72.1	143.3
2.240	9.264	-0.342	3.026	0.244	0.366	0.000	-5.3	-72.1	143.3
2.250	9.176	-0.317	2.955	0.366	0.183	0.061	-5.3	-72.1	143.3
2.260	9.216	-0.327	3.002	0.366	0.000	-0.061	-5.3	-72.1	143.3
2.270	9.175	-0.342	2.918	0.488	0.061	-0.122	-5.3	-72.1	143.3
2.280	9.200	-0.278	2.953	0.427	0.122	0.000	-5.3	-72.1	143.4
2.290	9.197	-0.269	2.953	0.366	0.061	0.061	-5.3	-72.1	143.4
2.300	9.249	-0.252	2.985	0.244	0.061	0.122	-5.3	-72.1	143.4
2.310	9.249	-0.262	2.904	0.183	0.244	0.244	-5.3	-72.2	143.4
2.320	9.221	-0.274	2.933	0.183	0.671	0.305	-5.3	-72.2	143.4
2.330	9.229	-0.270	3.011	-0.061	0.916	0.305	-5.3	-72.2	143.4
2.340	9.215	-0.284	2.923	-0.122	0.793	0.305	-5.3	-72.1	143.4
2.350	9.234	-0.300	2.979	-0.183	0.793	0.183	-5.3	-72.1	143.4
2.360	9.178	-0.280	3.044	-0.061	0.793	0.061	-5.3	-72.1	143.4
2.370	9.172	-0.276	2.979	0.061	0.549	-0.061	-5.3	-72.1	143.4
2.380	9.215	-0.295	2.959	0.061	0.427	-0.122	-5.3	-72.1	143.4
2.390	9.181	-0.281	2.988	0.122	0.488	-0.061	-5.3	-72.1	143.4
2.400	9.200	-0.323	2.963	0.244	0.549	0.000	-5.3	-72.1	143.4
2.410	9.178	-0.271	2.926	0.366	0.488	0.000	-5.3	-72.1	143.4
2.420	9.209	-0.305	2.921	0.366	0.488	0.061	-5.3	-72.1	143.4
2.430	9.181	-0.306	2.922	0.549	0.549	0.122	-5.3	-72.1	143.4
2.440	9.219	-0.263	3.037	0.427	0.427	0.183	-5.3	-72.1	143.4
2.450	9.211	-0.242	3.027	0.427	0.305	0.122	-5.3	-72.1	143.4
2.460	9.223	-0.242	2.985	0.305	0.244	0.122	-5.3	-72.1	143.4
2.470	9.222	-0.218	2.927	0.183	0.305	0.061	-5.3	-72.1	143.4
2.480	9.247	-0.250	2.916	0.183	0.488	0.122	-5.3	-72.1	143.4
2.490	9.207	-0.268	2.935	0.183	0.610	0.061	-5.3	-72.1	143.4
2.500	9.236	-0.312	2.951	0.366	0.549	0.061	-5.3	-72.1	143.4
2.510	9.252	-0.353	2.987	0.366	0.488	0.000	-5.3	-72.1	143.4
2.520	9.242	-0.324	2.982	0.427	0.610	0.061	-5.3	-72.1	143.4
2.530	9.243	-0.323	3.075	0.366	0.793	0.061	-5.4	-72.1	143.4
2.540	9.233	-0.302	3.014	0.366	0.793	0.061	-5.4	-72.1	143.4
2.550	9.212	-0.252	3.030	0.061	1.038	0.061	-5.4	-72.1	143.4
2.560	9.172	-0.241	3.001	-0.183	1.221	0.061	-5.4	-72.1	143.4
2.570	9.164	-0.265	2.965	0.000	1.038	0.061	-5.4	-72.1	143.4
2.580	9.164	-0.308	2.864	0.061	0.610	0.000	-5.4	-72.1	143.4
2.590	9.194	-0.282	2.918	0.183	0.305	-0.122	-5.4	-72.1	143.4
2.600	9.213	-0.305	2.881	0.244	0.061	-0.061	-5.4	-72.1	143.4
2.610	9.241	-0.313	2.894	0.244	0.000	0.000	-5.4	-72.1	143.4
2.620	9.217	-0.302	2.886	0.244	0.122	0.122	-5.4	-72.1	143.4
2.630	9.222	-0.269	2.947	0.366	0.122	0.061	-5.4	-72.1	143.4
2.640	9.204	-0.263	2.961	0.366	0.183	0.244	-5.4	-72.1	143.4
2.650	9.204	-0.280	2.926	0.366	0.366	0.183	-5.4	-72.1	143.4
2.660	9.216	-0.281	2.976	0.244	0.366	0.183	-5.4	-72.1	143.4
2.670	9.206	-0.291	2.932	0.244	0.549	0.061	-5.4	-72.1	143.4
2.680	9.236	-0.289	2.941	0.183	0.671	0.061	-5.4	-72.1	143.4
2.690	9.223	-0.288	2.977	0.183	0.732	0.000	-5.4	-72.1	143.4
2.700	9.213	-0.284	2.979	0.122	0.732	0.061	-5.4	-72.1	143.4
2.710	9.204	-0.313	2.954	0.244	0.732	0.061	-5.4	-72.1	143.4
2.720	9.224	-0.307	2.970	0.366	0.610	0.061	-5.4	-72.1	143.4
2.730	9.192	-0.296	2.909	0.305	0.488	0.122	-5.4	-72.1	143.4
2.740	9.218	-0.327	3.014	0.305	0.305	0.122	-5.4	-72.1	143.4
2.750	9.210	-0.313	3.019	0.366	0.061	0.122	-5.4	-72.1	143.4
2.760	9.212	-0.349	2.937	0.366	0.000	0.183	-5.4	-72.1	143.4
2.770	9.230	-0.301	2.955	0.305	0.366	0.122	-5.4	-72.1	143.4
2.780	9.198	-0.306	3.000	0.122	0.549	0.122	-5.5	-72.1	143.5
2.790	9.192	-0.306	2.949	0.305	0.366	0.000	-5.5	-72.1	143.5
2.800	9.207	-0.242	2.983	0.366	0.488	0.061	-5.5	-72.1	143.5
2.810	9.204	-0.258	2.942	0.610	0.610	0.061	-5.5	-72.1	143.5
2.820	9.182	-0.264	2.997	0.549	0.793	0.183	-5.5	-72.1	143.5
2.830	9.178	-0.275	2.947	0.549	0.977	0.244	-5.5	-72.1	143.5
2.840	9.184	-0.297	2.961	0.427	0.854	0.244	-5.5	-72.1	143.5
2.850	9.174	-0.317	2.949	0.366	0.549	0.122	-5.5	-72.1	143.5
2.860	9.234	-0.260	3.011	0.305	0.488	0.183	-5.5	-72.1	143.5
2.870	9.228	-0.281	2.933	0.305	0.549	0.122	-5.5	-72.1	143.5
2.880	9.199	-0.266	2.953	0.000	0.488	0.183	-5.5	-72.1	143.5
2.890	9.228	-0.276	2.942	-0.061	0.488	0.244	-5.5	-72.1	143.5
2.900	9.186	-0.299	2.923	0.000	0.488	0.122	-5.5	-72.1	143.5
2.910	9.174	-0.307	2.978	0.122	0.488	0.122	-5.5	-72.1	143.5
2.920	9.212	-0.326	2.994	0.183	0.427	0.000	-5.5	-72.1	143.5
2.930	9.179	-0.313	2.989	0.183	0.305	-0.061	-5.5	-72.1	143.5
2.940	9.191	-0.351	2.976	0.305	0.549	0.000	-5.5	-72.1	143.5
2.950	9.225	-0.333	2.948	0.366	0.488	0.000	-5.5	-72.1	143.5
2.960	9.187	-0.315	2.885	0.366	0.427	0.061	-5.5	-72.1	143.5
2.970	9.204	-0.295	2.937	0.366	0.244	0.183	-5.5	-72.1	143.5
2.980	9.239	-0.312	2.923	0.305	0.366	0.122	-5.5	-72.1	143.5
2.990	9.205	-0.320	2.961	0.244	0.427	0.244	-5.5	-72.1	143.5
3.000	9.151	-0.323	2.971	0.305	0.549	0.183	-5.6	-72.1	143.5
3.010	9.202	-0.313	2.961	0.183	0.549	0.183	-5.6	-72.1	143.5
